epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.943,1.73031,1.64046,1.2801,0.64414,0.6597,0.67668,0.34155,1.62111,1.25091,1.31315,0.00330688,0.00330688,0.00330688
2,473.786,1.58155,0.94791,1.12822,0.7287,0.65511,0.70256,0.35258,1.62145,1.17688,1.24283,0.00661392,0.00661392,0.00661392
3,757.961,1.62962,1.02079,1.14677,0.4893,0.44825,0.4459,0.19976,1.82418,2.68033,1.36165,0.00989455,0.00989455,0.00989455
4,853.57,1.67824,1.10533,1.17929,0.6231,0.53958,0.57427,0.28059,1.71623,1.63218,1.38023,0.0098812,0.0098812,0.0098812
5,931.549,1.64543,1.04135,1.16377,0.63921,0.572,0.61064,0.28806,1.70318,1.53522,1.30943,0.0098416,0.0098416,0.0098416
6,997.395,1.61615,0.99987,1.1505,0.68952,0.61521,0.65115,0.33097,1.64003,1.37846,1.27562,0.009802,0.009802,0.009802
7,1094.14,1.59683,0.97306,1.15138,0.68829,0.58374,0.63427,0.32338,1.69719,1.39725,1.33415,0.0097624,0.0097624,0.0097624
8,1158.01,1.5757,0.94703,1.13532,0.77814,0.63182,0.71694,0.35221,1.61068,1.16071,1.22282,0.0097228,0.0097228,0.0097228
9,1227.93,1.5628,0.91913,1.13271,0.77659,0.63206,0.71582,0.36572,1.56703,1.02187,1.20556,0.0096832,0.0096832,0.0096832
10,1333.67,1.54308,0.89483,1.11589,0.74477,0.61883,0.6845,0.36156,1.5843,1.00666,1.22076,0.0096436,0.0096436,0.0096436
11,1470.84,1.53049,0.87727,1.11688,0.80535,0.7017,0.77328,0.41081,1.50138,0.93151,1.15775,0.009604,0.009604,0.009604
12,1577.26,1.53788,0.87136,1.11253,0.79413,0.73764,0.79046,0.43088,1.49622,0.83716,1.14992,0.0095644,0.0095644,0.0095644
13,1655.43,1.51716,0.85907,1.11275,0.78997,0.7408,0.79997,0.44234,1.46472,0.84583,1.1482,0.0095248,0.0095248,0.0095248
14,1721.48,1.50854,0.8416,1.10346,0.80129,0.73162,0.78197,0.4231,1.5203,0.90345,1.19752,0.0094852,0.0094852,0.0094852
15,1863.08,1.50323,0.85045,1.10237,0.82482,0.75711,0.8078,0.4499,1.49328,0.79879,1.14669,0.0094456,0.0094456,0.0094456
16,1983.55,1.50102,0.83147,1.09967,0.80047,0.71827,0.78655,0.42741,1.54083,0.87777,1.19267,0.009406,0.009406,0.009406
17,2054.04,1.48639,0.82312,1.09292,0.78931,0.69091,0.77292,0.42135,1.5158,0.88039,1.17914,0.0093664,0.0093664,0.0093664
18,2251.78,1.49109,0.81253,1.08951,0.81131,0.75141,0.80958,0.44998,1.49781,0.81644,1.16334,0.0093268,0.0093268,0.0093268
19,2326.99,1.46834,0.81294,1.09036,0.83895,0.76103,0.82671,0.45574,1.47463,0.79082,1.13862,0.0092872,0.0092872,0.0092872
20,2521.58,1.4734,0.80903,1.09056,0.81399,0.78156,0.82657,0.47029,1.45997,0.78666,1.13388,0.0092476,0.0092476,0.0092476
21,2589.5,1.46214,0.79891,1.09172,0.83513,0.76641,0.83181,0.47711,1.44358,0.75662,1.13394,0.009208,0.009208,0.009208
22,2752.34,1.46816,0.79176,1.08284,0.83183,0.80161,0.85111,0.49553,1.42212,0.7556,1.1155,0.0091684,0.0091684,0.0091684
23,2913.35,1.46047,0.78682,1.0826,0.84153,0.75356,0.81544,0.44847,1.46821,0.78835,1.13986,0.0091288,0.0091288,0.0091288
24,3104.64,1.4548,0.78172,1.08176,0.85003,0.76098,0.82423,0.47064,1.4473,0.81103,1.13814,0.0090892,0.0090892,0.0090892
25,3240.28,1.45492,0.77427,1.07765,0.83781,0.80214,0.85255,0.49911,1.41907,0.7133,1.11281,0.0090496,0.0090496,0.0090496
26,3392.16,1.44811,0.77202,1.07186,0.85625,0.76767,0.85114,0.48523,1.44763,0.73454,1.12493,0.00901,0.00901,0.00901
27,3541.95,1.43167,0.76137,1.07179,0.83609,0.79774,0.83723,0.47918,1.42131,0.70857,1.12152,0.0089704,0.0089704,0.0089704
